股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌额,换手率,涨跌幅
600027,2026-06-12,8.95874764,9.02928896,9.09983028,8.87057099,124191625,634132185.43,2.56,0.09,1.3476,0.9862
600028,2026-06-12,16.95566619,17.55995618,17.59550265,16.92011972,488059055,2385149965.57,3.97,0.53,0.5151,3.1315
600029,2026-06-12,8.7795964,8.98416952,9.0353128,8.72845312,206179119,1079194615.33,3.59,0.43,1.5299,4.9801
600030,2026-06-12,127.64104236,131.28650249,132.08550745,126.39259711,269384528,7027638104.4,4.47,3.9,2.2123,3.0576
600031,2026-06-12,707.1385696,726.73860604,738.65235368,707.1385696,113054955,2135482985.87,4.5,26.52,1.3341,3.787
600036,2026-06-12,215.69236047,219.88436022,219.94025355,214.29502722,111983390,4373132355.5,2.61,3.41,0.5428,1.575
600039,2026-06-12,98.39723369,97.45224225,98.51535762,96.50725081,26321288,217316129.72,2.04,-1.06,0.3027,-1.0791
600048,2026-06-12,136.03702855,137.62192597,138.67852425,135.50872941,106926132,555545082.33,2.33,1.58,0.8933,1.165
600050,2026-06-12,6.28671696,6.28671696,6.35864736,6.22917264,212092005,929499627.5,2.06,0.01,0.6844,0.2294
600061,2026-06-12,44.41308,46.275564,46.418832,44.05491,68409705,435378249.86,5.33,1.93,1.0699,4.3619
600066,2026-06-12,1695.17207553,1668.56753255,1708.47434702,1662.78393625,20357671,592140965.21,2.68,-37.59,0.9195,-2.2034
600085,2026-06-12,236.74204719,242.17769895,242.85715542,234.41248215,9173421,226743282.83,3.58,6.31,0.6689,2.6749
600089,2026-06-12,1103.27936616,1108.57433694,1125.90333222,1092.6894246,136225012,3139612157.6,3.03,13.48,2.696,1.2308
600104,2026-06-12,89.89976418,90.39644796,91.30703489,89.48586103,145131937,1583827981.02,2.02,0.41,1.2625,0.46
600111,2026-06-12,739.2049846,758.06851429,784.75350751,735.83101994,152440926,7537641199.88,6.71,29.29,4.2168,4.0194
600115,2026-06-12,4.02423845,4.0977885,4.12930995,4.0137313,319368708,1240040422.26,2.97,0.21,1.8759,5.4054
600150,2026-06-12,88.2343272,88.71745464,90.72624768,88.08176064,103047830,3618109098.24,3.02,1.12,1.3693,1.2772
600160,2026-06-12,348.3236097,359.25639453,364.84991235,348.3236097,114603142,4833825913.55,4.76,11.78,4.245,3.3902
600161,2026-06-12,184.25927709,191.70710559,191.70710559,180.53536284,35823445,447647931.19,6.07,7.6,1.8117,4.1262
600176,2026-06-12,658.440345,644.65182954,684.15825024,640.00401534,209243676,8937260562.2,6.94,8.37,5.227,1.3148
600183,2026-06-12,1622.14941746,1573.27070056,1691.20360474,1561.10301997,96370472,14973724299.94,8.36,16.12,4.0247,1.0352
600188,2026-06-12,174.37695644,177.7854798,181.34893604,173.29242628,63100907,1445443385.55,4.5,-1.16,1.0585,-0.6494
600196,2026-06-12,293.71051865,300.56600444,301.50695347,291.55977801,19366496,429776314.28,3.4,7.8,0.9142,2.663
600219,2026-06-12,32.19305205,32.74691101,33.50846708,31.77765783,266703719,1259004276.32,5.46,1.04,2.3225,3.2751
600233,2026-06-12,72.29502002,72.93216767,74.03655693,71.14815425,18361333,314234558.04,4.01,0.93,0.5364,1.2979
600276,2026-06-12,2472.3924984,2539.96424253,2564.05959315,2438.86853232,100299020,4824609043.68,5.09,79.1,1.5723,3.2141
600309,2026-06-12,2478.0177408,2642.85017088,2685.62547712,2463.2676352,60211407,4241418178.67,8.98,166.68,1.9234,6.7312
600346,2026-06-12,141.7385178,148.9021974,152.1429096,137.9861142,73152170,1255717012.21,10.19,9.98,1.0392,7.1823
600362,2026-06-12,61.79386125,64.49032065,66.13815695,61.58413663,91427022,3921636554.05,7.57,4.36,4.4056,7.2496
600372,2026-06-12,25.3670359,25.92557614,26.48411638,25.3670359,55287292,618168590.31,4.47,0.95,1.1426,3.8211
600377,2026-06-12,33.8738064,34.53475872,34.53475872,33.37809216,28146899,345015137.78,3.4,0.47,0.7403,1.3743
600406,2026-06-12,1021.0853116,1029.50206688,1034.81791232,1012.2255692,70418480,1630624940.18,2.23,17.28,0.8793,1.7068
