股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌额,换手率,涨跌幅
000661,2026-06-17,451.11720287,444.84103217,454.32502345,442.88844573,5815945,371989493.48,2.53,-7.46,1.4554,-1.6497
000661,2026-06-18,443.37659234,447.0028243,457.4631088,439.40168423,6809485,438447472.9,4.06,2.16,1.704,0.486
300979,2026-06-12,62.78862527,63.41966673,63.82533624,61.61669113,29390326,410792230.68,3.54,1.08,0.5823,1.7354
300979,2026-06-15,64.09578258,63.46474112,64.09578258,62.02236064,24964073,349057825.22,3.27,0.05,0.4946,0.0711
300979,2026-06-16,63.37459234,62.24773259,63.41966673,62.2026582,15979513,222287821.55,1.92,-1.22,0.3166,-1.9176
300979,2026-06-17,62.29280698,61.34624479,63.05907161,61.21102162,14224970,195817101.29,2.97,-0.9,0.2818,-1.4482
300979,2026-06-18,61.61669113,60.98564967,62.11250942,59.99401309,14392903,195265915.81,3.45,-0.36,0.2852,-0.5878
601939,2026-06-12,27.8592418,28.46919465,28.5684893,27.7173923,32573966,651097801.66,3.04,0.44,0.7685,1.5688
601939,2026-06-15,28.4550097,28.41245485,28.5117495,28.086201,26566656,531209987.45,1.49,-0.06,0.6268,-0.1993
601939,2026-06-16,28.2280505,27.70320735,28.49756455,27.58972775,25594400,504471163.05,3.2,-0.71,0.6039,-2.4963
601939,2026-06-17,27.81668695,27.27765885,28.07201605,27.16417925,17424937,336818877.13,3.28,-0.43,0.4111,-1.5361
601939,2026-06-18,27.16417925,26.4691167,27.33439865,26.4407468,20732500,389671573.88,3.28,-0.81,0.4892,-2.9641
688012,2026-06-12,477.12905991,455.61650136,487.0683117,455.5865187,39806694,12488246432.16,6.93,1.2,4.2484,0.2639
688012,2026-06-15,464.71623867,479.69257734,479.69257734,448.49561961,25842173,8097859455.61,6.85,24.08,2.758,5.2843
688012,2026-06-16,479.69257734,478.223427,485.2693521,469.81329087,20501454,6513324291.15,3.22,-1.47,2.1881,-0.3063
688012,2026-06-17,470.727762,526.195683,527.51492004,467.98434861,31337870,10444151404.19,12.45,47.97,3.3446,10.0313
688012,2026-06-18,524.69655,539.68788,551.680944,517.200885,26144797,9363424812.45,6.55,13.49,2.7903,2.5641
000776,2026-06-12,123.42207555,129.41594136,130.64049459,123.03537453,125357366,2488955284.64,6.16,5.99,2.1232,4.8564
000776,2026-06-15,129.5448417,134.24970411,138.5678655,129.5448417,136512646,2860443123.0,6.97,4.83,2.3122,3.7351
000776,2026-06-16,134.12080377,138.5678655,138.89011635,133.28295156,115918756,2469115354.79,4.18,4.32,1.9634,3.2165
000776,2026-06-17,138.50341533,138.05226414,139.8568689,136.95661125,71195368,1523558805.95,2.09,-0.52,1.2059,-0.3721
000776,2026-06-18,137.34331227,133.02515088,139.14791703,132.7673502,104099471,2178439770.71,4.62,-5.03,1.7632,-3.6415
603392,2026-06-12,84.73711628,85.31513208,85.31513208,81.55802938,11915401,346150190.6,4.49,1.71,0.9424,2.0394
603392,2026-06-15,84.47700917,81.96264044,85.02612418,81.52912859,8567913,246206261.25,4.1,-3.35,0.6776,-3.9295
603392,2026-06-16,82.02044202,83.5232831,84.3903068,80.922212,7390857,211752768.66,4.23,1.56,0.5845,1.9041
603392,2026-06-17,82.88746572,82.68516019,83.58108468,81.5002278,4156659,118772978.97,2.49,-0.84,0.3287,-1.0035
603392,2026-06-18,82.56955703,82.48285466,83.89899337,81.64473175,4686807,134271032.86,2.73,-0.2,0.3707,-0.2447
000792,2026-06-12,190.35150294,197.3877214,200.8124295,188.48348034,156143164,4899139683.34,6.51,8.03,2.9508,4.242
000792,2026-06-15,199.8784182,199.44254626,204.11260276,194.5856875,137783413,4396721128.44,4.83,2.05,2.6039,1.041
000792,2026-06-16,197.0763843,193.9630133,197.94812818,191.7836536,104880654,3285184085.02,3.09,-5.48,1.982,-2.7474
000792,2026-06-17,194.77248976,192.21952554,196.4537101,189.97789842,77127429,2388289083.79,3.34,-1.74,1.4576,-0.8989
000792,2026-06-18,189.23068938,185.2455745,193.27807168,184.3115632,118140870,3552924487.94,4.66,-6.97,2.2326,-3.6281
000807,2026-06-12,157.2782178,159.5493834,163.5239232,153.64435284,86680153,2435738221.32,6.39,4.94,2.4995,3.195
000807,2026-06-15,161.5366533,152.7358866,163.2400275,150.69183756,124142663,3386253903.88,7.86,-6.81,3.5797,-4.2705
000807,2026-06-16,149.8969296,144.10545732,149.8969296,143.70800334,121719905,3141911026.02,4.05,-8.63,3.5099,-5.6506
000807,2026-06-17,144.61646958,141.94785,145.18426098,140.07413838,85160982,2134606210.02,3.55,-2.16,2.4557,-1.4972
000807,2026-06-18,140.5283715,137.23518138,142.7995371,135.30469062,105412286,2568686993.77,5.28,-4.71,3.0396,-3.32
000858,2026-06-12,1387.85501476,1397.12020128,1414.60168528,1384.70834764,35834421,2870646294.71,2.14,2.27,0.9232,0.1629
000858,2026-06-15,1397.81946064,1392.05057092,1403.41353552,1382.7853844,24061117,1916505151.87,1.48,-5.07,0.6199,-0.3629
000858,2026-06-16,1387.85501476,1369.32464172,1389.777978,1366.1779746,21756586,1708709321.74,1.7,-22.73,0.5605,-1.6326
000858,2026-06-17,1368.8001972,1354.64019516,1375.7927908,1350.444639,22258774,1727945965.35,1.85,-14.68,0.5735,-1.0724
