date,w_opt,best_ret,trend_score,breadth_score,accel_decline_score,volatility_score,composite,ret_5d,ret_10d,ret_20d,ratio_ma20,vol_20,vol_60,market_up_ratio_5d,market_return_5d,market_volatility_5d,consecutive_downs,w0_ret,w1_ret,w_opt_smoothed
2026-01-26,0.4,-0.04283933982203966,0.0,0.4,0.0,0.0,0.1,0.7738022099447515,-0.20038563535911597,4.302762430939226,0.5,0.0,0.0,0.8,0.15476044198895028,0.2235651780342645,0.0,-0.05094291883037279,-0.060713962908317494,0.5957580566406251
2026-01-27,0.0,-0.03151911719263906,0.0,0.4,0.0,0.0,0.1,-0.02351767955801104,-0.1917618784530385,3.6358308993247386,0.5,0.0,0.0,0.6,-0.004703535911602208,0.2598626435517822,0.0,-0.03151911719263906,-0.09531543475457831,0.29787902832031254
2026-01-28,0.0,-0.14468000584382976,0.0,0.4,0.0,0.0,0.1,0.483555,0.6225127777777779,4.326689999999999,0.5,0.0,0.0,0.8,0.096711,0.2823735054019655,0.0,-0.14468000584382976,-0.1572719022398748,0.14893951416015627
2026-01-29,0.0,-0.05069145607064747,0.0,0.4,0.0,0.0,0.1,0.8608172222222222,1.4919550000000001,4.879685555555555,0.5,0.0,0.0,0.8,0.17216344444444445,0.3497467313270869,0.0,-0.05069145607064747,-0.10677624998731272,0.07446975708007814
2026-01-30,0.7,-0.030806735859819443,0.0,0.7,0.5,0.0,0.3,-0.7524452513966482,0.31799608938547475,3.1516547486033515,0.5,0.0,0.0,0.6,-0.15048905027932963,0.8364133698697678,0.0,-0.042814134473375884,-0.030806735859819443,0.387234878540039
2026-02-02,0.6,0.01116666691930903,0.6000000000000001,0.9,0.8,0.0,0.605,-3.201782122905028,-2.4351687150837993,-0.5375586592178772,0.5,0.0,0.0,0.4,-0.6403564245810056,1.184454041077083,0.0,-0.022237221547833717,0.01116666691930903,0.4936174392700195
2026-02-03,0.6,0.02045347161940806,0.25,0.7,0.8,0.0,0.45,-1.5642502793296094,-1.5975061452513966,-1.0470581005586597,0.5,0.0,0.0,0.6,-0.31285005586592185,1.469475110473875,0.0,0.008565760913145141,0.02045347161940806,0.5468087196350098
2026-02-04,1.0,0.02704385787051817,0.0,0.4,0.5,0.0,0.225,-0.510242696629214,-0.05101629213483139,0.3842786516853931,0.5,0.0,0.0,0.6,-0.10204853932584279,1.6558701328718488,0.0,0.003921765395438573,0.02704385787051817,0.7734043598175049
2026-02-05,1.0,0.07556292165892901,0.25,0.4,0.5,0.0,0.3,-1.4526573033707866,-0.621747752808989,0.06230674157303345,0.5,0.0,0.0,0.4,-0.2905314606741573,1.616957312943624,0.0,0.06544591248028225,0.07556292165892901,0.8867021799087524
2026-02-06,0.9,0.09244850937069364,0.0,0.4,0.8,0.0,0.30000000000000004,-0.28638595505618014,-1.031774157303371,-0.6806629213483145,0.5,0.0,0.0,0.4,-0.05727719101123603,1.4724121406346362,0.0,0.03291877883871115,0.09244850937069363,0.8933510899543762
